match_id,game_time,placement,level,gold_left,augments,traits,units
NA1_5256006849,2025-03-29 23:08:40.961000+00:00,1,10,1,[],"['TFT13_Ambassador-1', 'TFT13_BloodHunter-1', 'TFT13_FormSwapper-3', 'TFT13_HighRoller-1', 'TFT13_JunkerKing-1', 'TFT13_MissMageTrait-1', 'TFT13_Pugilist-2', 'TFT13_Scrap-1', 'TFT13_Warband-3']","['TFT13_Draven (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Jayce (1★)', 'TFT13_Mordekaiser (1★)', 'TFT13_Lieutenant (2★)', 'TFT13_Rumble (2★)', 'TFT13_Warwick (1★)', 'TFT13_MissMage (1★)', 'TFT13_JayceSummon (1★)']"
NA1_5255963593,2025-03-29 21:28:25.825000+00:00,1,10,0,[],"['TFT13_Ambusher-1', 'TFT13_Bruiser-1', 'TFT13_JunkerKing-1', 'TFT13_Rebel-3', 'TFT13_Scrap-1', 'TFT13_Titan-1']","['TFT13_Irelia (2★)', 'TFT13_Akali (2★)', 'TFT13_Sett (2★)', 'TFT13_Ezreal (2★)', 'tft13_elise (2★)', 'TFT13_Ekko (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (2★)', 'TFT13_Rumble (2★)', 'tft13_jinx (2★)']"
NA1_5255639319,2025-03-29 05:08:40.812000+00:00,3,10,9,[],"['TFT13_Ambassador-2', 'TFT13_Cabal-1', 'TFT13_FormSwapper-3', 'TFT13_Sorcerer-3', 'TFT13_Warband-1', 'TFT13_Watcher-1']","['TFT13_Vladimir (2★)', 'TFT13_Tristana (1★)', 'tft13_swain (2★)', 'TFT13_Nami (1★)', 'TFT13_Gangplank (2★)', 'tft13_elise (1★)', 'TFT13_Ambessa (2★)', 'TFT13_Garen (2★)', 'TFT13_Zoe (2★)', 'TFT13_Jayce (2★)', 'TFT13_LeBlanc (2★)', 'TFT13_JayceSummon (2★)', 'TFT13_Sion (1★)']"
NA1_5255611327,2025-03-29 04:30:57.872000+00:00,2,9,1,[],"['TFT13_Academy-1', 'TFT13_Bruiser-1', 'TFT13_Cabal-1', 'TFT13_FormSwapper-1', 'TFT13_Invoker-3', 'TFT13_Titan-1']","['TFT13_Morgana (1★)', 'TFT13_Leona (2★)', 'TFT13_Rell (2★)', 'TFT13_NunuWillump (2★)', 'TFT13_Heimerdinger (2★)', 'tft13_elise (1★)', 'TFT13_Jayce (2★)', 'TFT13_Malzahar (2★)', 'TFT13_LeBlanc (1★)', 'TFT13_JayceSummon (2★)', 'TFT13_Sion (1★)']"
NA1_5255568081,2025-03-29 03:27:26.805000+00:00,2,9,0,[],"['TFT13_BloodHunter-1', 'TFT13_Bruiser-3', 'TFT13_Experiment-1', 'TFT13_Sniper-1', 'TFT13_Squad-1']","['TFT13_Fish (4★)', 'TFT13_Sett (2★)', 'TFT13_Chainsaw (2★)', 'TFT13_NunuWillump (1★)', 'tft13_elise (2★)', 'TFT13_DrMundo (2★)', 'TFT13_Twitch (2★)', 'TFT13_Caitlyn (1★)', 'TFT13_Warwick (1★)']"
NA1_5255528406,2025-03-29 02:29:47.978000+00:00,6,8,11,[],"['TFT13_Ambusher-1', 'TFT13_FormSwapper-1', 'TFT13_Scrap-3']","['TFT13_Blue (1★)', 'TFT13_Trundle (2★)', 'TFT13_Akali (3★)', 'TFT13_Ziggs (3★)', 'TFT13_Gangplank (2★)', 'TFT13_Ekko (2★)', 'TFT13_Corki (2★)', 'TFT13_Jayce (1★)', 'TFT13_JayceSummon (1★)']"
NA1_5255306273,2025-03-28 18:30:31.595000+00:00,7,8,7,[],"['TFT13_Ambassador-1', 'TFT13_FormSwapper-1', 'TFT13_Pugilist-2', 'TFT13_Warband-3']","['TFT13_Darius (2★)', 'TFT13_Draven (2★)', 'TFT13_Rell (2★)', 'TFT13_Sett (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'TFT13_Ambessa (1★)', 'TFT13_Vi (1★)']"
NA1_5255203125,2025-03-28 09:41:17.485000+00:00,3,10,2,[],"['TFT13_Ambassador-1', 'TFT13_Ambusher-1', 'TFT13_Bruiser-1', 'TFT13_Challenger-1', 'TFT13_HighRoller-1', 'TFT13_Pugilist-1', 'TFT13_Rebel-3', 'TFT13_Titan-1']","['TFT13_Irelia (2★)', 'TFT13_Akali (3★)', 'TFT13_Sett (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Ekko (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (1★)', 'TFT13_Lieutenant (1★)', 'tft13_jinx (2★)']"
NA1_5255199167,2025-03-28 09:17:04.724000+00:00,1,10,3,[],"['TFT13_Ambassador-1', 'TFT13_BloodHunter-1', 'TFT13_FormSwapper-3', 'TFT13_HighRoller-1', 'TFT13_MissMageTrait-1', 'TFT13_Pugilist-3', 'TFT13_Warband-1']","['TFT13_Draven (2★)', 'TFT13_Urgot (2★)', 'tft13_swain (2★)', 'TFT13_Gangplank (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Vi (2★)', 'TFT13_Jayce (2★)', 'TFT13_Lieutenant (2★)', 'TFT13_Warwick (1★)', 'TFT13_MissMage (1★)', 'TFT13_JayceSummon (2★)']"
NA1_5255155432,2025-03-28 06:46:54.441000+00:00,4,9,3,[],"['TFT13_Ambassador-1', 'TFT13_Bruiser-1', 'TFT13_Challenger-1', 'TFT13_Rebel-3', 'TFT13_Titan-1']","['TFT13_Irelia (2★)', 'TFT13_Vex (2★)', 'TFT13_Akali (2★)', 'TFT13_Sett (2★)', 'TFT13_Ezreal (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (2★)']"
NA1_5255148347,2025-03-28 06:33:18.916000+00:00,7,8,3,[],"['TFT13_Martialist-1', 'TFT13_Rebel-3', 'TFT13_Titan-1']","['TFT13_Irelia (2★)', 'TFT13_Vex (2★)', 'TFT13_Akali (2★)', 'TFT13_Sett (2★)', 'TFT13_Ezreal (2★)', 'TFT13_Illaoi (1★)', 'TFT13_Zoe (2★)', 'TFT13_Corki (2★)']"
NA1_5255136341,2025-03-28 06:05:32.172000+00:00,2,10,7,[],"['TFT13_Ambassador-2', 'TFT13_Cabal-1', 'TFT13_FormSwapper-2', 'TFT13_MachineHerald-1', 'TFT13_Sorcerer-3', 'TFT13_Warband-1', 'TFT13_Watcher-1']","['TFT13_Vladimir (2★)', 'TFT13_Tristana (1★)', 'tft13_swain (2★)', 'TFT13_Nami (3★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Garen (2★)', 'TFT13_Jayce (2★)', 'TFT13_LeBlanc (2★)', 'TFT13_Viktor (1★)', 'TFT13_JayceSummon (2★)', 'TFT13_Sion (1★)']"
NA1_5255121589,2025-03-28 05:39:20.741000+00:00,3,10,2,[],"['TFT13_Ambassador-1', 'TFT13_Challenger-3', 'TFT13_Hextech-2', 'TFT13_MachineHerald-1', 'TFT13_MissMageTrait-1', 'TFT13_Squad-1']","['TFT13_Amumu (2★)', 'TFT13_Nocturne (2★)', 'TFT13_Akali (2★)', 'TFT13_Blitzcrank (2★)', 'TFT13_KogMaw (2★)', 'TFT13_Beardy (2★)', 'TFT13_TwistedFate (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Viktor (1★)', 'TFT13_MissMage (1★)']"
NA1_5255112382,2025-03-28 05:20:23.150000+00:00,8,6,66,[],[],['TFT13_Singed (1★)']
NA1_5255101037,2025-03-28 04:57:02.074000+00:00,8,8,2,[],"['TFT13_Ambassador-1', 'TFT13_Cabal-2', 'TFT13_Infused-2', 'TFT13_Watcher-1']","['TFT13_Morgana (2★)', 'TFT13_Vladimir (1★)', 'TFT13_Blitzcrank (2★)', 'TFT13_Cassiopeia (2★)', 'tft13_elise (1★)', 'TFT13_Silco (2★)', 'TFT13_Garen (1★)', 'TFT13_DrMundo (2★)', 'TFT13_Sion (2★)']"
NA1_5255090048,2025-03-28 04:38:16.328000+00:00,8,8,5,[],"['TFT13_Ambassador-1', 'TFT13_Family-1', 'TFT13_Watcher-3']","['TFT13_Amumu (2★)', 'TFT13_Darius (2★)', 'TFT13_Blue (2★)', 'TFT13_Red (2★)', 'TFT13_Vladimir (2★)', 'TFT13_Prime (3★)', 'TFT13_FlyGuy (2★)', 'TFT13_Garen (1★)']"
NA1_5255070599,2025-03-28 04:13:49.942000+00:00,2,10,2,[],"['TFT13_Ambassador-2', 'TFT13_BloodHunter-1', 'TFT13_FormSwapper-3', 'TFT13_Martialist-2', 'TFT13_Pugilist-1', 'TFT13_Scrap-1', 'TFT13_Sorcerer-1', 'TFT13_Warband-1']","['TFT13_Tristana (2★)', 'TFT13_Urgot (2★)', 'tft13_swain (2★)', 'TFT13_Nami (2★)', 'TFT13_Gangplank (2★)', 'tft13_elise (2★)', 'TFT13_Ambessa (2★)', 'TFT13_Garen (2★)', 'TFT13_Corki (2★)', 'TFT13_Jayce (2★)', 'TFT13_Warwick (1★)', 'TFT13_JayceSummon (2★)']"
NA1_5254868893,2025-03-27 22:52:18.664000+00:00,3,10,0,[],"['TFT13_Bruiser-1', 'TFT13_FormSwapper-3', 'TFT13_HighRoller-1', 'TFT13_JunkerKing-1', 'TFT13_MachineHerald-1', 'TFT13_Pugilist-3', 'TFT13_Scrap-1', 'TFT13_Warband-1']","['TFT13_Draven (1★)', 'TFT13_Urgot (2★)', 'TFT13_Sett (2★)', 'tft13_swain (3★)', 'TFT13_Gangplank (1★)', 'tft13_elise (1★)', 'TFT13_Vi (2★)', 'TFT13_Jayce (2★)', 'TFT13_Lieutenant (2★)', 'TFT13_Rumble (1★)', 'TFT13_Viktor (1★)', 'TFT13_JayceSummon (2★)']"
NA1_5254850298,2025-03-27 22:16:32.232000+00:00,3,9,1,[],"['TFT13_Ambusher-1', 'TFT13_Bruiser-1', 'TFT13_JunkerKing-1', 'TFT13_Rebel-3', 'TFT13_Scrap-1', 'TFT13_Titan-1']","['TFT13_Irelia (2★)', 'TFT13_Akali (2★)', 'TFT13_Sett (1★)', 'tft13_elise (2★)', 'TFT13_Ekko (2★)', 'TFT13_Illaoi (2★)', 'TFT13_Zoe (2★)', 'TFT13_Rumble (2★)', 'tft13_jinx (1★)']"
